dataset,algorithm,variant,seed,hyperparameters,accuracy,f1_score,fit_time,predict_time,total_time_seconds,train_size,series_length,num_classes
Chinatown,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9825072886297376,0.9784385214986171,0.46547603607177734,1.1686131954193115,1.6340892314910889,20,24,2
Chinatown,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9825072886297376,0.9784385214986171,0.3477210998535156,1.2653353214263916,1.6130564212799072,20,24,2
Chinatown,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9825072886297376,0.9784385214986171,0.3235747814178467,1.2834692001342773,1.607043981552124,20,24,2
DiatomSizeReduction,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9738562091503268,0.9680195184665732,0.7839338779449463,8.492206335067749,9.276140213012695,16,345,4
DiatomSizeReduction,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9738562091503268,0.9680195184665732,0.7284767627716064,8.401057720184326,9.129534482955933,16,345,4
DiatomSizeReduction,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9738562091503268,0.9680195184665732,0.7935338020324707,8.757309913635254,9.550843715667725,16,345,4
ElectricDevices,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.7267539878096226,0.6464325141746022,420.0392439365387,58.880390644073486,478.9196345806122,8926,96,7
ElectricDevices,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.7298664245882506,0.6513892190488447,418.3026616573334,59.50936317443848,477.81202483177185,8926,96,7
ElectricDevices,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.7274024121385034,0.6493045118894313,423.80189990997314,59.842843532562256,483.6447434425354,8926,96,7
FordB,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.808641975308642,0.8086416836483519,209.5390429496765,31.097995281219482,240.637038230896,3636,500,2
FordB,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.817283950617284,0.81728283665805,208.90632438659668,30.82595705986023,239.7322814464569,3636,500,2
FordB,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.8074074074074075,0.8074074074074075,209.7754135131836,31.336207389831543,241.11162090301514,3636,500,2
Fungi,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",1.0,1.0,0.7006700038909912,3.662452459335327,4.363122463226318,18,201,18
Fungi,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",1.0,1.0,0.6470775604248047,3.6370577812194824,4.284135341644287,18,201,18
Fungi,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",1.0,1.0,0.6847109794616699,3.859997510910034,4.544708490371704,18,201,18
HandOutlines,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9378378378378378,0.9311906205781282,213.14354276657104,76.96879506111145,290.1123378276825,1000,2709,2
HandOutlines,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9432432432432433,0.9371740448756822,211.19163274765015,77.24665641784668,288.4382891654968,1000,2709,2
HandOutlines,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9378378378378378,0.9311906205781282,210.05621361732483,78.35138893127441,288.40760254859924,1000,2709,2
HouseTwenty,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9663865546218487,0.9653061224489796,6.768511056900024,19.29269242286682,26.061203479766846,40,2000,2
HouseTwenty,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9663865546218487,0.9653061224489796,6.67025351524353,18.4978244304657,25.16807794570923,40,2000,2
HouseTwenty,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9663865546218487,0.9653061224489796,6.23544716835022,18.84779167175293,25.08323884010315,40,2000,2
InsectEPGSmallTrain,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9839357429718876,0.9771856495994428,1.2171106338500977,11.559105634689331,12.776216268539429,17,601,3
InsectEPGSmallTrain,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9799196787148594,0.9738081037195693,1.1324434280395508,11.62338376045227,12.755827188491821,17,601,3
InsectEPGSmallTrain,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9799196787148594,0.9738081037195693,1.0975425243377686,11.819551944732666,12.917094469070435,17,601,3
ItalyPowerDemand,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9698736637512148,0.9698735499420591,0.529226541519165,2.6427414417266846,3.1719679832458496,67,24,2
ItalyPowerDemand,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9698736637512148,0.9698735499420591,0.466768741607666,2.6151530742645264,3.0819218158721924,67,24,2
ItalyPowerDemand,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9698736637512148,0.9698735499420591,0.49506592750549316,2.6085264682769775,3.1035923957824707,67,24,2
Rock,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9,0.8933441558441558,4.641915321350098,11.353729248046875,15.995644569396973,20,2844,4
Rock,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9,0.8933441558441558,4.79109001159668,11.333070993423462,16.12416100502014,20,2844,4
